city,lat,lng,country,iso3,local_name,population,continent
Sainte-Julie,45.5833,-73.3333,Canada,CAN,Quebec,30104.0,North America
Shibancun,22.1539,110.7082,China,CHN,Guangdong,29812.0,Asia
Barbosa,5.9331,-73.6147,Colombia,COL,Santander,29581.0,South America
Tacuba,13.9,-89.9333,El Salvador,SLV,Ahuachapán,29858.0,North America
Los Altos,37.3685,-122.0966,United States,USA,California,30089.0,North America
Pervomaiskyi,49.3869,36.2142,Ukraine,UKR,Kharkivs’ka Oblast’,30048.0,Europe
Ballwin,38.5951,-90.55,United States,USA,Missouri,30082.0,North America
Barira,7.4833,124.3,Philippines,PHL,Maguindanao,30004.0,Asia
Atascadero,35.4827,-120.6858,United States,USA,California,30075.0,North America
Claveria,18.6,121.0833,Philippines,PHL,Cagayan,29921.0,Asia
Barra Velha,-26.6319,-48.685,Brazil,BRA,Santa Catarina,29860.0,South America
Selargius,39.2537,9.1606,Italy,ITA,Sardegna,28986.0,Europe
Alubijid,8.5714,124.4751,Philippines,PHL,Misamis Oriental,29724.0,Asia
North Royalton,41.3138,-81.7452,United States,USA,Ohio,30068.0,North America
Budaörs,47.4606,18.9578,Hungary,HUN,Pest,28844.0,Europe
Villa Ángela,-27.5833,-60.7167,Argentina,ARG,Chaco,30051.0,South America
Schwedt (Oder),53.0631,14.2831,Germany,DEU,Brandenburg,29920.0,Europe
Heesch,51.7314,5.53,Netherlands,NLD,Noord-Brabant,29728.0,Europe
Saalfeld,50.6506,11.3542,Germany,DEU,Thuringia,29457.0,Europe
Meschede,51.3503,8.2836,Germany,DEU,North Rhine-Westphalia,29921.0,Europe
President Roxas,11.43,122.93,Philippines,PHL,Capiz,29676.0,Asia
Somerset,37.0815,-84.6091,United States,USA,Kentucky,30053.0,North America
Villa Regina,-39.1,-67.0667,Argentina,ARG,Río Negro,30028.0,South America
Werve,51.6667,7.6167,Germany,DEU,North Rhine-Westphalia,29662.0,Europe
Siraha,26.6528,86.2069,Nepal,NPL,Sagarmāthā,28442.0,Asia
Neuburg,48.7333,11.1833,Germany,DEU,Bavaria,29682.0,Europe
Campo Alegre de Lourdes,-9.5158,-43.0108,Brazil,BRA,Bahia,29938.0,South America
Canosa di Puglia,41.2167,16.0667,Italy,ITA,Puglia,29847.0,Europe
Morong,14.68,120.2683,Philippines,PHL,Bataan,29901.0,Asia
Degeh Bur,8.2167,43.5667,Ethiopia,ETH,Sumalē,30027.0,Africa
Casma,-9.4742,-78.3106,Peru,PER,Ancash,30000.0,South America
Devarkonda,16.7,78.9333,India,IND,Telangana,29731.0,Asia
Nan’ao,38.5162,114.5648,China,CHN,Hebei,29508.0,Asia
Merzig,49.4471,6.6312,Germany,DEU,Saarland,29745.0,Europe
